Kyber512: GSA detection chain b = 406 (m = 515, d = 1028); prefix-volume floor detection chain (eps = 0) b = 417 (m = 517, d = 1030, 75 admissible m): +11 blocksizes, 3.2 classical core-SVP bits
   detection b*=417 m*=517 d=1030: entry [3.2244601732959163246411066531829150870981191410039646700650725754405228525 +/- 4.17e-74] vs log(sigma sqrt b) [3.219275664953482915281021635631209311831038820820198782511393581312424914994 +/- 2.58e-76]: passes
   detection b=403: 476 values of m rigorously fail (293 outside the condition's domain); first non-failing: None
   detection b=404: 474 values of m rigorously fail (295 outside the condition's domain); first non-failing: None
   detection b=405: 472 values of m rigorously fail (297 outside the condition's domain); first non-failing: None
   detection b=406: 470 values of m rigorously fail (299 outside the condition's domain); first non-failing: None
   detection b=407: 468 values of m rigorously fail (301 outside the condition's domain); first non-failing: None
   detection b=408: 466 values of m rigorously fail (303 outside the condition's domain); first non-failing: None
   detection b=409: 464 values of m rigorously fail (305 outside the condition's domain); first non-failing: None
   detection b=410: 462 values of m rigorously fail (307 outside the condition's domain); first non-failing: None
   detection b=411: 460 values of m rigorously fail (309 outside the condition's domain); first non-failing: None
   detection b=412: 458 values of m rigorously fail (311 outside the condition's domain); first non-failing: None
   detection b=413: 456 values of m rigorously fail (313 outside the condition's domain); first non-failing: None
   detection b=414: 454 values of m rigorously fail (315 outside the condition's domain); first non-failing: None
   detection b=415: 452 values of m rigorously fail (317 outside the condition's domain); first non-failing: None
   detection b=416: 450 values of m rigorously fail (319 outside the condition's domain); first non-failing: None
Kyber768: GSA detection chain b = 624 (m = 698, d = 1467); prefix-volume floor detection chain (eps = 0) b = 642 (m = 698, d = 1467, 97 admissible m): +18 blocksizes, 5.3 classical core-SVP bits
   detection b*=642 m*=698 d=1467: entry [3.2367230411960213620914102420352098145478885748075364813724269191603604438 +/- 2.17e-74] vs log(sigma sqrt b) [3.232294151844980587058438087701989637143068484157206129707745531188802642359 +/- 1.83e-76]: passes
   detection b=621: 552 values of m rigorously fail (473 outside the condition's domain); first non-failing: None
   detection b=622: 550 values of m rigorously fail (475 outside the condition's domain); first non-failing: None
   detection b=623: 548 values of m rigorously fail (477 outside the condition's domain); first non-failing: None
   detection b=624: 546 values of m rigorously fail (479 outside the condition's domain); first non-failing: None
   detection b=625: 544 values of m rigorously fail (481 outside the condition's domain); first non-failing: None
   detection b=626: 542 values of m rigorously fail (483 outside the condition's domain); first non-failing: None
   detection b=627: 540 values of m rigorously fail (485 outside the condition's domain); first non-failing: None
   detection b=628: 538 values of m rigorously fail (487 outside the condition's domain); first non-failing: None
   detection b=629: 536 values of m rigorously fail (489 outside the condition's domain); first non-failing: None
   detection b=630: 534 values of m rigorously fail (491 outside the condition's domain); first non-failing: None
   detection b=631: 532 values of m rigorously fail (493 outside the condition's domain); first non-failing: None
   detection b=632: 530 values of m rigorously fail (495 outside the condition's domain); first non-failing: None
   detection b=633: 528 values of m rigorously fail (497 outside the condition's domain); first non-failing: None
   detection b=634: 526 values of m rigorously fail (499 outside the condition's domain); first non-failing: None
   detection b=635: 524 values of m rigorously fail (501 outside the condition's domain); first non-failing: None
   detection b=636: 522 values of m rigorously fail (503 outside the condition's domain); first non-failing: None
   detection b=637: 520 values of m rigorously fail (505 outside the condition's domain); first non-failing: None
   detection b=638: 518 values of m rigorously fail (507 outside the condition's domain); first non-failing: None
   detection b=639: 516 values of m rigorously fail (509 outside the condition's domain); first non-failing: None
   detection b=640: 514 values of m rigorously fail (511 outside the condition's domain); first non-failing: None
   detection b=641: 512 values of m rigorously fail (513 outside the condition's domain); first non-failing: None
Kyber1024: GSA detection chain b = 874 (m = 893, d = 1918); prefix-volume floor detection chain (eps = 0) b = 900 (m = 890, d = 1915, 117 admissible m): +26 blocksizes, 7.6 classical core-SVP bits
   detection b*=900 m*=890 d=1915: entry [3.4051581255614812163344598255598275058674591907667880370394783944009940054 +/- 2.03e-74] vs log(sigma sqrt b) [3.401197381662155375413236691606889912248592046451522427768022234605066902896 +/- 9.92e-77]: passes
   detection b=871: 564 values of m rigorously fail (717 outside the condition's domain); first non-failing: None
   detection b=872: 562 values of m rigorously fail (719 outside the condition's domain); first non-failing: None
   detection b=873: 560 values of m rigorously fail (721 outside the condition's domain); first non-failing: None
   detection b=874: 558 values of m rigorously fail (723 outside the condition's domain); first non-failing: None
   detection b=875: 556 values of m rigorously fail (725 outside the condition's domain); first non-failing: None
   detection b=876: 554 values of m rigorously fail (727 outside the condition's domain); first non-failing: None
   detection b=877: 552 values of m rigorously fail (729 outside the condition's domain); first non-failing: None
   detection b=878: 550 values of m rigorously fail (731 outside the condition's domain); first non-failing: None
   detection b=879: 548 values of m rigorously fail (733 outside the condition's domain); first non-failing: None
